id,name,lat,lng,category,description,author,difficulty,favorite,date_added,region
-OlKDGTYEGdIiReRIGBA,Abandoned Buildings,32.7680061,-117.0338709,building,don’t know much abt them tbh js drove past em,Anonymous,0,False,2026-02-12 20:18:50,California
-OlKDpRgAV5hH1dFmhs6,long tunnel,32.8228577,-116.9999187,tunnel,,Anonymous,0,False,2026-02-12 20:21:18,California
-OlKDwaS_gFTKMbTrZiM,Community centre,33.200231,-117.240291,building,Very big and almost untouched follow tt @ACUrbex,ACUrbex,2,True,2026-02-12 20:21:47,California
-OlKEUjVnVgzWfHYoRY2,Amusement Park,32.8422,-116.8834,building,Lowkey sketchy owners they get mad but i heard abt someone paying them off and they actually gave them a tour,Anonymous,3,False,2026-02-12 20:24:11,California
-OlKEst7FCT51VLVxaeR,Giant abandoned mortgage office,32.803188,-117.130659,building,Very big and easy to get into follow my tt @ACUrbex,ACUrbex,1,True,2026-02-12 20:25:54,California
-OlKFhYVJPiF9GYhBbTu,Kick back spot,32.5899599,-117.0613456,other,Sick graffiti,Anonymous,1,False,2026-02-12 20:29:30,California
-OlKGY3CfoqlKL9xLh2i,Abandoned Apartments,32.7452104,-117.2532393,building,,liljoji831,0,False,2026-02-12 20:33:09,California
-OlKH_o9Fn8FLTJ--bDV,Graffiti Hut,32.75892308587066,-117.25576251314013,building,sick spot on the rocks super tiny and visible but fun to js chill in,Anonymous,1,True,2026-02-12 20:37:42,California
-OlKIl6VaU5RnVgHi98C,Sewer,32.7490351,-117.2346666,tunnel,Watch for homeless,Anonymous,1,False,2026-02-12 20:42:51,California
-OlKJWMmAmtJWkDv0r0M,abandoned red lobster,32.7549298,-117.2167506,building,been abandoned for a lil while and surprisingly clean,Anonymous,3,False,2026-02-12 20:46:08,California
-OlKJuGdptmtkBV1hr5d,Abandoned Witch House,32.758889,-117.1944445,building,has a pentagram at the top of the stairs,Anonymous,1,False,2026-02-12 20:47:50,California
-OlKKFT20vXRyiWYC5b9,abandoned carl’s jr,32.7483299,-117.2048645,building,,Anonymous,4,False,2026-02-12 20:49:21,California
-OlKL3pFqS7aGGNgU9U5,Massive Abandoned Place,32.7398747,-117.2131828,building,super hard to get in,Anonymous,4,False,2026-02-12 20:52:56,California
-OlKLpX6q3O5ADCS3_VM,Off-road Bando,32.7464859,-117.1562644,building,park on the side not much to see tbh,Anonymous,1,False,2026-02-12 20:56:15,California
-OlKMmLAUTRuNoGpuaQq,abandoned museum,32.7244222,-117.148415,building,"Went at night and got into the bottom floor, looks safe and we went in, but there is a room in the back with a large metal door, we opened it and there was a hideout with a homeless dude in it. When we saw it we bolted and on our way out we were chased by another homeless guy who i assume was also squatting there. He started yelling and chased us with some sort of weapon. Very cool spot from what little we saw but the squatters there seem dangerous explore at your own risk",Samuel Berkinballs,4,True,2026-02-12 21:00:24,California
-OlKNgk3qVPeKtmM3Oye,Abandoned WWII,32.593911,-116.8460037,building,I do not recommend you going be very careful because last time I went going it was about a week ago and I almost got shot by a 22 go if you dare but make sure to bring protection about if I could remember 10 bullets flew past my truck thank God it was very cloudy that day and if you turn around and looked where it was shooting you would see the orange flashes go off through the clouds,Samuel Berkinballs,5,False,2026-02-12 21:04:24,California
